time, chassis::zChassis[REAL], wheel::zWheel[REAL], ground::zGround[REAL]
3.65, 1.141160, 0.634063, 0.100000
3.66, 1.141229, 0.634054, 0.100000
3.67, 1.141268, 0.634043, 0.100000
3.68, 1.141280, 0.634029, 0.100000
3.69, 1.141263, 0.634013, 0.100000
3.7, 1.141220, 0.633995, 0.100000
3.71, 1.141150, 0.633974, 0.100000
3.72, 1.141054, 0.633952, 0.100000
3.73, 1.140934, 0.633927, 0.100000
3.74, 1.140789, 0.633901, 0.100000
3.75, 1.140622, 0.633874, 0.100000
3.76, 1.140433, 0.633845, 0.100000
3.77, 1.140223, 0.633815, 0.100000
3.78, 1.139994, 0.633783, 0.100000
3.79, 1.139746, 0.633751, 0.100000
3.8, 1.139481, 0.633717, 0.100000
3.81, 1.139200, 0.633683, 0.100000
3.82, 1.138905, 0.633648, 0.100000
3.83, 1.138596, 0.633612, 0.100000
3.84, 1.138275, 0.633576, 0.100000
3.85, 1.137944, 0.633540, 0.100000
3.86, 1.137604, 0.633504, 0.100000
3.87, 1.137255, 0.633467, 0.100000
3.88, 1.136900, 0.633431, 0.100000
3.89, 1.136540, 0.633394, 0.100000
3.9, 1.136176, 0.633359, 0.100000
3.91, 1.135810, 0.633323, 0.100000
3.92, 1.135442, 0.633289, 0.100000
3.93, 1.135074, 0.633255, 0.100000
3.94, 1.134707, 0.633222, 0.100000
3.95, 1.134343, 0.633189, 0.100000
3.96, 1.133983, 0.633158, 0.100000
3.97, 1.133628, 0.633127, 0.100000
3.98, 1.133278, 0.633098, 0.100000
3.99, 1.132936, 0.633070, 0.100000
4, 1.132601, 0.633043, 0.100000
4.01, 1.132276, 0.633018, 0.100000
4.02, 1.131961, 0.632994, 0.100000
4.03, 1.131656, 0.632971, 0.100000
4.04, 1.131363, 0.632950, 0.100000
4.05, 1.131082, 0.632931, 0.100000
4.06, 1.130815, 0.632913, 0.100000
4.07, 1.130561, 0.632897, 0.100000
4.08, 1.130321, 0.632882, 0.100000
4.09, 1.130097, 0.632869, 0.100000
4.1, 1.129887, 0.632858, 0.100000
4.11, 1.129693, 0.632848, 0.100000
4.12, 1.129516, 0.632840, 0.100000
4.13, 1.129354, 0.632833, 0.100000
4.14, 1.129209, 0.632829, 0.100000
4.15, 1.129080, 0.632826, 0.100000
4.16, 1.128969, 0.632824, 0.100000
4.17, 1.128874, 0.632824, 0.100000
4.18, 1.128795, 0.632826, 0.100000
4.19, 1.128734, 0.632829, 0.100000
4.2, 1.128689, 0.632833, 0.100000
4.21, 1.128660, 0.632839, 0.100000
4.22, 1.128647, 0.632846, 0.100000
4.23, 1.128650, 0.632855, 0.100000
4.24, 1.128668, 0.632865, 0.100000
4.25, 1.128702, 0.632876, 0.100000
4.26, 1.128750, 0.632888, 0.100000
4.27, 1.128812, 0.632901, 0.100000
4.28, 1.128888, 0.632915, 0.100000
4.29, 1.128977, 0.632930, 0.100000
4.3, 1.129078, 0.632946, 0.100000
4.31, 1.129191, 0.632963, 0.100000
4.32, 1.129316, 0.632980, 0.100000
4.33, 1.129451, 0.632999, 0.100000
4.34, 1.129596, 0.633017, 0.100000
4.35, 1.129750, 0.633036, 0.100000
4.36, 1.129913, 0.633056, 0.100000
4.37, 1.130084, 0.633076, 0.100000
4.38, 1.130261, 0.633096, 0.100000
4.39, 1.130445, 0.633116, 0.100000
4.4, 1.130635, 0.633137, 0.100000
4.41, 1.130829, 0.633157, 0.100000
4.42, 1.131027, 0.633178, 0.100000
4.43, 1.131228, 0.633198, 0.100000
4.44, 1.131432, 0.633218, 0.100000
4.45, 1.131638, 0.633238, 0.100000
4.46, 1.131844, 0.633258, 0.100000
4.47, 1.132051, 0.633277, 0.100000
4.48, 1.132258, 0.633296, 0.100000
4.49, 1.132463, 0.633314, 0.100000
4.5, 1.132666, 0.633332, 0.100000
4.51, 1.132867, 0.633350, 0.100000
4.52, 1.133065, 0.633366, 0.100000
4.53, 1.133259, 0.633382, 0.100000
4.54, 1.133449, 0.633398, 0.100000
4.55, 1.133634, 0.633412, 0.100000
4.56, 1.133814, 0.633426, 0.100000
4.57, 1.133987, 0.633439, 0.100000
4.58, 1.134155, 0.633451, 0.100000
4.59, 1.134315, 0.633462, 0.100000
4.6, 1.134469, 0.633473, 0.100000
